,stop_id,stop_name,latitude,longitude
81,8503061,Langwies ZH,47.2960526930082,8.69438939432526
82,8503062,Egg,47.3014990777941,8.68961035701308
83,8503063,Hinteregg,47.3057327365344,8.68433724629457
84,8503064,Scheuren,47.3225969975727,8.65955272760226
85,8503065,Forch,47.3253371600043,8.64797344358835
86,8503066,Zumikon,47.3316877011018,8.62380876244217
87,8503067,Zollikerberg,47.3460481890667,8.60339903918413
88,8503068,Maiacher,47.328168511864,8.63106714993886
89,8503072,Neuhaus bei Hinteregg,47.3127799602696,8.67403356998428
90,8503074,Neue Forch,47.3258121070389,8.63784044718207
91,8503075,Waltikon,47.3367895002108,8.61701749889328
92,8503077,Spital Zollikerberg,47.3473081217871,8.59679642184493
93,8503078,Waldburg,47.3454699490061,8.5930234976511
