,dep_stop_id,weight,arr_stop_id
630,8591299,325,8503447
631,8591309,126,8503447
632,8591316,418,8503447
633,8591327,399,8503447
634,8503000,409,8503499
635,8503088,456,8503499
636,8503446,401,8503499
637,8503500,218,8503499
638,8530822,486,8503499
639,8587348,435,8503499
640,8587349,249,8503499
641,8588078,41,8503499
642,8591067,417,8503499
643,8591123,393,8503499
644,8591174,416,8503499
645,8591287,585,8503499
646,8591327,359,8503499
647,8591379,513,8503499
648,8503088,439,8503499
649,8503000,587,8503500
650,8503446,525,8503500
651,8503499,218,8503500
652,8587349,432,8503500
653,8588078,223,8503500
654,8591123,175,8503500
655,8591173,492,8503500
656,8591174,409,8503500
657,8591287,551,8503500
658,8591327,499,8503500
659,8591379,563,8503500
660,8587020,42,8503508
661,8587020,42,8503508
662,8590217,230,8503508
663,8590223,580,8503508
664,8590514,590,8503508
665,8590529,401,8503508
666,8595511,375,8503508
667,8587020,42,8503508
668,8587020,42,8503508
669,8590217,230,8503508
670,8590223,580,8503508
671,8590514,590,8503508
672,8590529,401,8503508
673,8595511,375,8503508
674,8590786,122,8503509
675,8590787,312,8503509
676,8590788,366,8503509
677,8590789,353,8503509
678,8590790,570,8503509
679,8590805,210,8503509
680,8596007,327,8503509
681,8590512,325,8503512
682,8590526,444,8503512
683,8590619,80,8503512
684,8590840,545,8503512
685,8576248,568,8503526
686,8576265,382,8503526
687,8576280,280,8503526
688,8590754,512,8503526
689,8590878,71,8503526
690,8576259,470,8503527
691,8576260,156,8503527
692,8576277,578,8503527
693,8595356,318,8503527
694,8576235,71,8503528
695,8595143,589,8503528
696,8583731,85,8503551
697,8503872,347,8503565
698,8505296,372,8503565
699,8503872,442,8503567
700,8588058,417,8503567
701,8503579,504,8503578
702,8583613,466,8503578
703,8503578,504,8503579
704,8503698,341,8503579
705,8573720,437,8503598
706,8503054,421,8503610
707,8580912,594,8503610
708,8591214,370,8503610
709,8591344,560,8503610
710,8591401,322,8503610
711,8530646,61,8503633
712,8505333,350,8503651
713,8576193,418,8503651
714,8591093,353,8503651
715,8591105,118,8503651
716,8591299,574,8503651
717,8591384,585,8503651
718,8576199,482,8503653
719,8576200,525,8503653
720,8591109,253,8503653
721,8503100,269,8503655
722,8576183,549,8503655
723,8576184,238,8503655
724,8576203,517,8503655
725,8503101,212,8503657
726,8576216,565,8503657
727,8576223,177,8503657
728,8590705,339,8503657
729,8503102,420,8503659
730,8587965,411,8503659
731,8587966,211,8503659
732,8587971,466,8503659
733,8587974,365,8503659
734,8503103,347,8503660
735,8587998,397,8503660
736,8588005,488,8503660
737,8588011,395,8503660
738,8590647,222,8503660
739,8595723,223,8503660
740,8503104,470,8503661
741,8505448,579,8503661
742,8530644,177,8503661
743,8576080,484,8503661
744,8588028,374,8503661
745,8503204,131,8503672
746,8503855,200,8503672
747,8503855,200,8503672
748,8573552,283,8503672
749,8577912,424,8503672
750,8580724,486,8503672
751,8589111,537,8503672
752,8590651,326,8503672
753,8590660,237,8503672
754,8502209,463,8503673
755,8503203,344,8503673
756,8579186,273,8503673
757,8590734,486,8503673
758,8503202,312,8503674
759,8573167,402,8503674
760,8573168,285,8503674
761,8590813,579,8503674
762,8590824,489,8503674
763,8503201,457,8503675
764,8590771,483,8503675
765,8590773,522,8503675
766,8503200,423,8503677
767,8503200,423,8503677
768,8590673,414,8503677
769,8590674,123,8503677
770,8590681,468,8503677
771,8590689,376,8503677
772,8502495,465,8503681
773,8503009,381,8503681
774,8587347,369,8503681
775,8591080,351,8503681
776,8591081,397,8503681
777,8591304,360,8503681
